title,characters,url,Production code,Season №,Episode №,Airdate,U.S. premiere time (ET),Copyright year,U.S. viewers (millions),Running time,Sister episode(s),Writer(s),Storyboard Artist(s),Storyboard,Animation,Creative,Next,Previous,Guest(s),Supervising,Line Producer,Main,Supervising Producer(s),Technical,Animation Supervisor
Home Sweet Pineapple,"['Nematodes', 'Gary the Snail', 'SpongeBob SquarePants', 'Squidward Tentacles', 'Patrick Star', 'Harold SquarePants', 'Margaret SquarePants', 'Herb Star', 'Sea urchins', 'Shelley', 'Incidentals', 'Fred']",https://spongebob.fandom.com/wiki/Home_Sweet_Pineapple,2515-124,1,5b,"August 14, 1999",10:15 am,1999,2.47,"10 minutes, 47 seconds","""Pizza Delivery""","['Ennio Torresan, Jr.', 'Erik Wiese', 'Doug Lawrence']",Erik Wiese,"Ennio Torresan, Jr.",Tom Yasumi,Derek Drymon,"""Mermaid Man and Barnacle Boy""","""Pizza Delivery""",,,,,,,
Mermaid Man and Barnacle Boy,"['Baby fish', 'Barnacle Boy', 'Clam Head Candy Cad', 'King Neptune', 'Man Ray', 'Mermaid Man', 'Patrick Star', 'Orderly', 'Sea urchins', 'SpongeBob SquarePants', 'Squidward Tentacles', 'Old sailor', 'The chief', 'Realistic Fish Head', 'Jellyfish', 'Incidentals', 'Incidental 80', 'Incidental 81', 'Incidental 81B', 'Incidental 82', 'Old Man Walker', 'Incidental 83B', 'Mable', 'Incidental 85', 'Old Man Jenkins', 'Mary', 'Incidental 88', 'Incidental 88C', 'Incidental 89', 'Incidental 90', 'Incidental 91', 'Incidental 92', 'Incidental 92B', 'Incidental 93', 'Victoria Ellen', 'Cafeteria lady 1', 'Cafeteria lady 2']",https://spongebob.fandom.com/wiki/Mermaid_Man_and_Barnacle_Boy,2515-119,1,6a,"August 21, 1999",10:00 am,1999,2.94,"10 minutes, 50 seconds","""Pickles""","['Paul Tibbitt', ""Mark O'Hare"", 'Doug Lawrence']",Mark O'Hare,Paul Tibbitt,Sean Dempsey,Derek Drymon,"""Pickles""","""Home Sweet Pineapple""","['Ernest Borgnine as Mermaid Man', 'Tim Conway as Barnacle Boy', 'Don Newhouse as old sailor']",,,,,,
Pickles,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Bubble Bass', 'Eugene H. Krabs', 'Gary the Snail', 'Incidentals', 'Troutenheimer', 'Incidental 2', 'Incidental 3', 'Steven', 'John', 'Tom', 'Incidental 7', 'Incidental 8', 'Incidental 9', 'Incidental 10', 'Priscilla', 'Incidental 13', 'Incidental 14', 'Incidental 15', 'Incidental 17', 'Incidental 18', 'Incidental 20', 'Incidental 21', 'Carol', 'Incidental 25', 'Incidental 27', 'Incidental 30', 'Incidental 31', 'Incidental 35', 'Harold', 'Incidental 42', 'Judy', 'Sadie', 'Incidental 48', 'Incidental 49', 'Incidental 60', 'Incidental 61', 'Incidental 62', 'Incidental 63', 'Incidental 64', 'Billy', 'Incidental 67', 'Incidental 68', 'Incidental 69', 'Incidental 70', 'Incidental 71', 'Harris']",https://spongebob.fandom.com/wiki/Pickles,2515-111,1,6b,"August 21, 1999",10:15 am,1999,2.94,"10 minutes, 50 seconds","""Mermaid Man and Barnacle Boy""","['Steve Fonti', 'Chris Mitchell', 'Peter Burns']","['Chris Mitchell', 'Jay Lender']",Steve Fonti,Tom Yasumi,Derek Drymon,"""Hall Monitor""","""Mermaid Man and Barnacle Boy""",,,,,,,
Hall Monitor,"['French Narrator', 'SpongeBob SquarePants', 'Mrs. Puff', 'Patrick Star', 'Mailman', 'Motorist', 'Incidentals', 'Fred', 'Incidental 3', 'Steven', 'Tom', 'Incidental 8', 'Incidental 9', 'Incidental 10', 'Priscilla', 'Incidental 13', 'Incidental 27', 'Incidental 28', 'Incidental 31', 'Harold', 'Tuck Tucker', 'Harold', 'Incidental 46', '""Cop"" incidentals', 'Cop 1', 'Cop 2', 'Cop 3', 'Cop 4', 'Bill', 'Bill']",https://spongebob.fandom.com/wiki/Hall_Monitor,2515-108,1,7a,"August 28, 1999",10:00 am,1999,3.08,"10 minutes, 50 seconds","""Jellyfish Jam""","['Chuck Klein', 'Jay Lender', 'Doug Lawrence']",Jay Lender,Chuck Klein,Edgar Larrazábal,Derek Drymon,"""Jellyfish Jam""","""Pickles""",,,,,,,
Jellyfish Jam,"['French Narrator', 'Jellyfish', 'jellyfish', 'SpongeBob SquarePants', 'Squidward Tentacles', 'Patrick Star', 'Gary the Snail', 'Live-action dolphins', 'Singing scallops']",https://spongebob.fandom.com/wiki/Jellyfish_Jam,2515-118,1,7b,"August 28, 1999",10:15 am,1999,3.08,"10 minutes, 49 seconds","""Hall Monitor""","['Ennio Torresan, Jr.', 'Erik Wiese', 'Peter Burns']",Erik Wiese,"Ennio Torresan, Jr.",Fred Miller,Derek Drymon,"""Sandy's Rocket""","""Hall Monitor""",,,,,,,
Sandy's Rocket,"['SpongeBob SquarePants', 'Sandy Cheeks', 'Gary the Snail', 'Patrick Star', 'Jellyfish', 'Squidward Tentacles', 'Granny Tentacles', 'Eugene H. Krabs', 'Mrs. Puff', 'Flats the Flounder', 'Larry the Lobster', 'Sheldon J. Plankton', 'Pearl Krabs', 'Incidentals', 'Lady fish with parasol', 'Mr. Doodles']",https://spongebob.fandom.com/wiki/Sandy%27s_Rocket,2515-110,1,8a,"September 17, 1999",8:00 pm,1999,2.40,"10 minutes, 49 seconds","""Squeaky Boots""","['Sherm Cohen', 'Aaron Springer', 'Peter Burns']",Aaron Springer,Sherm Cohen,Tom Yasumi,Derek Drymon,"""Squeaky Boots""","""Jellyfish Jam""",,,,,,,
Squeaky Boots,"['Eugene H. Krabs', 'Pearl Krabs', 'Squeaky boots', 'SpongeBob SquarePants', 'Squidward Tentacles', 'Money', 'Gary the Snail', 'Cindy', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 3', 'Steven', 'John', 'Tom', 'Incidental 7', 'Incidental 8', 'Incidental 9', 'Incidental 10', 'Incidental 11', 'Incidental 18', 'Incidental 21']",https://spongebob.fandom.com/wiki/Squeaky_Boots,2515-102,1,8b,"September 17, 1999",8:13 pm,1999,2.40,"10 minutes, 49 seconds","""Sandy's Rocket""","['Steve Fonti', 'Chris Mitchell', 'Doug Lawrence']",Chris Mitchell,Steve Fonti,Fred Miller,Derek Drymon,"""Nature Pants""","""Sandy's Rocket""",,,,,,,
Nature Pants,"['SpongeBob SquarePants', 'JellyBob', 'Jellyfish', 'Sea urchins', 'Eugene H. Krabs', 'Fire fish', 'Patrick Star', 'Squidward Tentacles', 'Sandy Cheeks', 'Gary the Snail']",https://spongebob.fandom.com/wiki/Nature_Pants,2515-120,1,9a,"September 11, 1999",10:00 am,1999,2.54,"10 minutes, 47 seconds","""Opposite Day""","['Paul Tibbitt', ""Mark O'Hare"", 'Peter Burns']",Mark O'Hare,Paul Tibbitt,Sean Dempsey,Derek Drymon,"""Opposite Day""","""Squeaky Boots""",,,,,,,
Opposite Day,"['Scallops and clams', 'Squidward Tentacles', 'SpongeBob SquarePants', 'Patrick Star', 'Seahorse', 'Incidentals', 'Incidental 49A', 'Shelley', 'Gary the Snail']",https://spongebob.fandom.com/wiki/Opposite_Day,2515-112,1,9b,"September 11, 1999",10:15 am,1999,2.54,"10 minutes, 47 seconds","""Nature Pants""","['Chuck Klein', 'Jay Lender', 'Doug Lawrence']",Jay Lender,Chuck Klein,Tom Yasumi,Derek Drymon,"""Culture Shock""","""Nature Pants""",,,,,,,
Culture Shock,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Eugene H. Krabs', 'Clams', 'Pearl Krabs', 'Bubble hippo', 'Margaret SquarePants', 'Harold SquarePants', 'Gary the Snail', 'Sheldon J. Plankton', 'Patrick Star', 'Sandy Cheeks', 'Incidentals', 'Steven', 'John', 'Tom', 'Incidental 18', 'Incidental 95', '""F"" incidentals', 'Incidental F1', 'Incidental F2', 'Incidental F3', 'Incidental F4', 'Incidental F5', 'Incidental F6', 'Incidental F7', 'Incidental F8', 'Incidental F9', 'Incidental F10', 'Incidental F11', 'Incidental F12', 'Incidental F13', 'Incidental F14', 'Incidental F15', 'Incidental F16', 'Eugene', 'Incidental F18', 'Incidental F19', 'Incidental F20', 'Incidental F21', 'Incidental F22', 'Incidental F23', 'Incidental F24']",https://spongebob.fandom.com/wiki/Culture_Shock,2515-122,1,10a,"September 18, 1999",10:00 am,1999,2.41,"10 minutes, 47 seconds","""F.U.N.""","['Paul Tibbitt', ""Mark O'Hare"", 'Doug Lawrence']",Mark O'Hare,Paul Tibbitt,Edgar Larrazábal,Derek Drymon,"""F.U.N.""","""Opposite Day""",Sirena Irwin as Margaret SquarePants,,,,,,
F.U.N.,"['French Narrator', 'Eugene H. Krabs', 'SpongeBob SquarePants', 'Squidward Tentacles', 'Male cowfish', 'Female cowfish', 'Sea urchins', 'Karen Plankton', 'Jellyfish', 'Sheldon J. Plankton', 'Scallops and clams', 'Bubble Bass', 'City crowds', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 3', 'Steven', 'John', 'Tom', 'Incidental 7', 'Incidental 8', 'Incidental 10', 'Priscilla', 'Incidental 13', 'Carol', 'Incidental 23', 'Incidental 27', 'Incidental 31', 'Incidental 34', 'Harold', 'Incidental 42', 'Judy', 'Incidental 48', 'Man anchovy', 'Woman anchovy', 'Police fish', '""Incidental city crowd"" incidentals', 'Incidental city crowd 1', 'Incidental city crowd 2', 'Incidental city crowd 3']",https://spongebob.fandom.com/wiki/F.U.N.,2515-121,1,10b,"September 18, 1999",10:15 am,1999,2.41,11 minutes,"""Culture Shock""","['Sherm Cohen', 'Aaron Springer', 'Peter Burns']",Aaron Springer,Sherm Cohen,Fred Miller,Derek Drymon,"""MuscleBob BuffPants""","""Culture Shock""",,,,,,,
MuscleBob BuffPants,"['SpongeBob SquarePants', 'Sandy Cheeks', 'Jellyfish', 'Gary the Snail', 'Shark nerd', 'Squidward Tentacles', 'Eugene H. Krabs', 'Larry the Lobster', 'Sports guy', 'Incidentals', 'Tom', 'Incidental 18', 'Incidental 20', 'Incidental 21', 'Carol', 'Incidental 30', 'Incidental 24', 'Incidental 24B', 'Incidental 24C', 'Incidental 24D', 'Incidental 24E', 'Incidental 24F', 'Incidental 24Q', 'Don the Whale', 'Incidental 35', 'Tuck Tucker', 'Scooter', 'Scooter', 'Incidental 41', 'Judy', 'Sadie', 'Measuring fish inc', '""Crowd"" incidentals', 'Crowd 1', 'Crowd 2', 'Crowd 3', 'Crowd', 'Crowd', 'Crowd', 'Mrs. Krabs', 'Pearl Krabs']",https://spongebob.fandom.com/wiki/MuscleBob_BuffPants,2515-123,1,11a,"October 2, 1999",10:00 am,1999,2.61,11 minutes,"""Squidward the Unfriendly Ghost""","['Ennio Torresan, Jr.', 'Erik Wiese', 'Doug Lawrence']",Erik Wiese,"Ennio Torresan, Jr.",Edgar Larrazábal,Derek Drymon,"""Squidward the Unfriendly Ghost""","""F.U.N.""",,,,,,,
Squidward the Unfriendly Ghost,"['Squidward Tentacles', ""Squidward's bonsai"", 'SpongeBob SquarePants', 'Patrick Star', 'Flying Dutchman', 'Sandy Cheeks', 'Eugene H. Krabs', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 3', 'John', 'Incidental 7', 'Incidental 8', 'Incidental 9', 'Incidental 14', 'Carol', 'Incidental 23', 'Incidental 27', 'Incidental 30s', 'Incidental 31', 'Incidental 62', 'Seagulls']",https://spongebob.fandom.com/wiki/Squidward_the_Unfriendly_Ghost,2515-115,1,11b,"October 2, 1999",10:15 am,1999,2.61,11 minutes,"""MuscleBob BuffPants""","['Sherm Cohen', 'Aaron Springer', 'Peter Burns']",Aaron Springer,Sherm Cohen,Fred Miller,Derek Drymon,"""The Chaperone""","""MuscleBob BuffPants""",,,,,,,
The Chaperone,"['SpongeBob SquarePants', 'Sponge dummy', 'Pearl Krabs', 'Eugene H. Krabs', 'Squidward Tentacles', 'Gary the Snail', 'Patrick Star', 'Margie Star', 'Fish on magazine', 'Octavius Rex', 'Incidentals', 'Fred', 'Incidental 1B', 'Clint', 'Incidental 25', 'Joe', 'Incidental 60', '""Teen"" incidentals', 'Billy Fishkins', 'Teen 1A', 'Bryan Flounder', 'Teen 2A', 'Teen 3', 'Teen 3A', 'Billy Fishkin', 'Teen 4A', 'Teen 5', 'Teen 5A', 'Teen 6', 'Teen 6A', 'Teen 6B', 'Teen 7', 'Teen 8', 'Teen 9', 'Teen 10', 'Judy', 'Teen 12', 'Teen 13', 'Teen 14', 'Teen 15', 'Teen B1', 'Teen B6', 'Football player', 'Norman Rockbass']",https://spongebob.fandom.com/wiki/The_Chaperone,2515-113,1,12a,"February 12, 2000",8:00 pm,1999,3.23,11 minutes,"""Employee of the Month""","['Sherm Cohen', 'Aaron Springer', 'Peter Burns']",Aaron Springer,Sherm Cohen,Sean Dempsey,Derek Drymon,"""Employee of the Month""","""Squidward the Unfriendly Ghost""",,,,,,,
Employee of the Month,"['Squidward Tentacles', 'SpongeBob SquarePants', 'Eugene H. Krabs', 'Employee of the Month SpongeBobs', 'Gary the Snail', 'Incidentals', 'Incidental 15', 'Incidental 27', 'Incidental 30', 'Incidental 41', 'Incidental 42', 'Billy']",https://spongebob.fandom.com/wiki/Employee_of_the_Month,2515-125,1,12b,"February 12, 2000",8:15 pm,1999,3.23,11 minutes,"""The Chaperone""","['Paul Tibbitt', 'Doug Lawrence']","[""Mark O'Hare"", 'Ennio Torresan, Jr.', 'Erik Wiese']",Paul Tibbitt,Sean Dempsey,Derek Drymon,"""Scaredy Pants""","""The Chaperone""",,,,,,,
Scaredy Pants,"['French Narrator', 'Incidentals', 'Incidental 41', 'Incidental 42', 'Incidental 43', 'Incidental 44', 'Incidental 45', 'Incidental 46', 'Incidental 51', 'Incidental 52', 'Incidental 53', 'Incidental 56', 'SpongeBob SquarePants', 'Eugene H. Krabs', 'Squidward Tentacles', 'Kid', 'Mom', 'Dad', 'Homeowner', 'Mrs. Puff', 'Gary the Snail', 'Patrick Star', 'Sandy Cheeks', 'Pearl Krabs', 'Jellyfish', 'Flying Dutchman']",https://spongebob.fandom.com/wiki/Scaredy_Pants,2515-109,1,13a,"October 28, 1999",8:00 pm,1999,2.68,11 minutes,"""I Was a Teenage Gary""","['Paul Tibbitt', 'Peter Burns']",Mark O'Hare,Paul Tibbitt,Sean Dempsey,Derek Drymon,"""I Was a Teenage Gary""","""Employee of the Month""","['Brian Doyle-Murray as Flying Dutchman', 'The Ghastly Ones as musical performer of ""SpongeBob ScaredyPants""', 'Sara Paxton as the Witch, Mummy', 'Camryn Walling as Kid, Pumpkin']",,,,,,
I Was a Teenage Gary,"['Gary the Snail', 'SpongeBob SquarePants', 'Patrick Star', 'Squidward Tentacles', 'Incidentals', 'Incidental 35', 'Snail doctor', 'Clam', 'King Neptune']",https://spongebob.fandom.com/wiki/I_Was_a_Teenage_Gary,2515-117,1,13b,"October 28, 1999",8:15 pm,1999,2.68,11 minutes,"""Scaredy Pants""","['Steve Fonti', 'Chris Mitchell', 'Doug Lawrence']",Chris Mitchell,Steve Fonti,Edgar Larrazábal,Derek Drymon,"""SB-129""","""Scaredy Pants""",,,,,,,
SB-129,"['French Narrator', 'Squidward Tentacles', 'SpongeBob SquarePants', 'Patrick Star', 'SpongeTron', '486 SpongeTron clones', 'Incidentals', 'Fish guy', 'PatTron', 'Nautilus', 'Primitive Sponge', 'Primitive Star', 'jellyfish', 'Jay Lender', 'Jay Lender', 'The Alone Group']",https://spongebob.fandom.com/wiki/SB-129,2515-129,1,14a,"December 31, 1999",8:00 pm,1999,1.52,"11 minutes, 32 seconds","""Karate Choppers""","['Aaron Springer', 'Erik Wiese', 'Doug Lawrence']",Erik Wiese,Aaron Springer,Tom Yasumi,Derek Drymon,"""Karate Choppers""","""I Was a Teenage Gary""",,,,,,,
Karate Choppers,"['SpongeBob SquarePants', 'Sandy Cheeks', 'Squidward Tentacles', 'Eugene H. Krabs', 'Volcano Sauce drop', 'Tom Kenny', 'Incidentals', 'Fred', 'John', 'Incidental 7', 'Incidental 8', 'Incidental 14', 'Carol', 'Incidental 27', 'Incidental 30', 'Incidental 31', 'Incidental 34', 'Harold', 'Tuck Tucker', 'Scooter', 'Incidental 41', 'Incidental 42', 'Judy', 'Incidental 46', 'Incidental 48', 'Incidental 60', 'Incidental 70', 'Incidental 81', 'Old Man Walker', 'Incidental 85']",https://spongebob.fandom.com/wiki/Karate_Choppers,2515-135,1,14b,"December 31, 1999",8:15 pm,1999,1.52,11 minutes,"""SB-129""","['Aaron Springer', 'Erik Wiese', 'Merriwether Williams']",Erik Wiese,Aaron Springer,Tom Yasumi,Derek Drymon,"""Sleepy Time""","""SB-129""",,,,,,,
Sleepy Time,"['SpongeBob SquarePants', 'Gary the Snail', 'Emily Dickinson', 'Patrick Star', 'Squidward Tentacles', 'King', 'Sandy Cheeks', 'Parakeet', 'Pearl Krabs', 'Eugene H. Krabs', 'Moby Dollar', 'King Neptune', 'Sheldon J. Plankton', 'Karen Plankton', 'Incidentals', 'Fred', 'Tuck Tucker', 'Harold', 'Harris', 'Old Man Jenkins', 'Incidental 93', 'Incidental 120', 'Incidental 121', 'Incidental 122', 'Incidental 123', 'Incidental 124', 'Incidental 125', 'Incidental 126', 'Incidental 127', 'Incidental 128', 'Incidental 129', 'Incidental 130', 'Incidental 131', 'Incidental 132', 'Incidental 133', 'Incidental 134', 'Incidental 135', 'Incidental 136', 'Incidental 137']",https://spongebob.fandom.com/wiki/Sleepy_Time,2515-141,1,15a,"January 17, 2000",8:00 pm,1999,2.89,"11 minutes, 12 seconds","""Suds""","['Paul Tibbitt', 'Ennio Torresan, Jr.', 'Doug Lawrence']","['Paul Tibbitt', 'Ennio Torresan, Jr.']","['Paul Tibbitt', 'Ennio Torresan, Jr.']",Edgar Larrazábal,Derek Drymon,"""Suds""","""Karate Choppers""",,,,,,,
Suds,"['SpongeBob SquarePants', 'Gary the Snail', 'Shelley', 'Jellyfish', 'Eugene H. Krabs', 'Incidentals', 'Fred', 'Incidental 23', 'Incidental 31', 'Incidental 33', 'Incidental 35', 'Incidental 66', 'Incidental 67', 'Incidental 116', 'Sandy Cheeks', 'Patrick Star', 'Wild scallops', 'Hans', 'Peter Bennett', 'Guy in shower', 'Tom Kenny']",https://spongebob.fandom.com/wiki/Suds,2515-132,1,15b,"January 17, 2000",8:15 pm,1999,2.89,"11 minutes, 34 seconds","""Sleepy Time""","['Paul Tibbitt', 'Ennio Torresan, Jr.', 'Doug Lawrence']","['Paul Tibbitt', 'Ennio Torresan, Jr.']","['Paul Tibbitt', 'Ennio Torresan, Jr.']",Edgar Larrazábal,Derek Drymon,"""Valentine's Day""","""Sleepy Time""",,,,,,,
Valentine's Day,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Mrs. Puff', 'Sheldon J. Plankton', 'Sandy Cheeks', 'Patrick Star', 'Chocolate-eating scallops', 'Balloon stand fish', 'Heart man', 'Kid fish at park', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 3', 'Steven', 'John', 'Tom', 'Incidental 7', 'Incidental 8', 'Incidental 9', 'Priscilla', 'Incidental 13', 'Incidental 14', 'Incidental 16', 'Incidental 17', 'Incidental 18', 'Incidental 20', 'Carol', 'Incidental 23', 'Incidental 27', 'Incidental 30', 'Incidental 31', 'Incidental 34', 'Scooter', 'Harold', 'Incidental 42', 'Judy', 'Incidental 46', 'Sadie', 'Incidental 48', 'Incidental 49', 'Incidental 62', 'Incidental 63', 'Billy', 'Incidental 66', 'Incidental 68', 'Incidental 70', 'Harris', 'Incidental 92', 'Incidental 96', 'Incidental 97', 'Incidental 98', 'Incidental 99', 'Incidental 100', 'Incidental 101', 'Incidental 102', 'Incidental 103', 'Incidental 104', 'Frank', 'Incidental 106', 'Steve', 'Dale', 'Incidental 109', 'Incidental 110', 'Incidental 111', 'Incidental 112', 'Incidental 113', 'Incidental 139', 'Incidental 142', 'Incidental 143', 'Incidental 144']",https://spongebob.fandom.com/wiki/Valentine%27s_Day,2515-128,1,16a,"February 14, 2000",8:30 pm,2000,2.75,11 minutes,"""The Paper""","['Chuck Klein', 'Jay Lender', 'Merriwether Williams']",Jay Lender,Chuck Klein,Fred Miller,Derek Drymon,"""The Paper""","""Suds""",,,,,,,
